Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
AE2301,ACM4-5036-A1-CC-S,dvk-mx8m-bsb:ACM4-5036-A1-CC-S,https://cloud.puri.sm/s/Xi64aJqKKKscxsZ,INPAQ,ACM4-5036-A1-CC-S,ACM4-5036-A1-CC-S,https://www.endrich.com/antennen_nfc_wpc/acm4_5036_a1_cc_s,-,https://www.everythingrf.com/products/gps-gnss-antennas/inpaq-technology-co-ltd/666-329-acm4-5036-a1-cc-s
AE1501,Antenna,dvk-mx8m-bsb:placeholder_WWAN_antenna,,,,,,,
AE1502,Antenna,dvk-mx8m-bsb:placeholder_WWAN_antenna,,,,,,,
AE1801,FR05-S1-NO-1-004,dvk-mx8m-bsb:placeholder_WLAN+BT_antenna,https://www.fractusantennas.com/files/UM_FR05_S1_NO_1_004.pdf,,,,,,
AE1802,FR05-S1-NO-1-004,dvk-mx8m-bsb:placeholder_WLAN+BT_antenna,https://www.fractusantennas.com/files/UM_FR05_S1_NO_1_004.pdf,,,,,,
BT301,18650,dvk-mx8m-bsb:BH18650,https://www.tme.eu/en/Document/8fa81c4c5d128169ded6af3ed3867ae3/BHC-18650-1P.pdf,COMF,BHC-18650-1P,BHC-18650-1P,https://www.tme.eu/en/details/bhc-18650-1p/batteries-holders/comf/,-,http://www.sierraic.com/BHC186501P
C103,100nF,Capacitors_SMD:C_0402,,,,,,,
C104,100nF,Capacitors_SMD:C_0402,,,,,,,
C108,100nF,Capacitors_SMD:C_0402,,,,,,,
C107,100nF,Capacitors_SMD:C_0402,,,,,,,
C207,100nF,Capacitors_SMD:C_0402,,,,,,,
C208,100nF,Capacitors_SMD:C_0402,,,,,,,
C202,100nF,Capacitors_SMD:C_0402,,,,,,,
C209,100nF,Capacitors_SMD:C_0402,,,,,,,
C210,100nF,Capacitors_SMD:C_0402,,,,,,,
C211,100nF,Capacitors_SMD:C_0402,,,,,,,
C212,100nF,Capacitors_SMD:C_0402,,,,,,,
C214,100nF,Capacitors_SMD:C_0402,,,,,,,
C308,100nF,Capacitors_SMD:C_0402,,,,,,,
C309,100nF,Capacitors_SMD:C_0402,,,,,,,
C440,100nF,Capacitors_SMD:C_0402,,,,,,,
C453,100nF,Capacitors_SMD:C_0402,,,,,,,
C434,100nF,Capacitors_SMD:C_0402,,,,,,,
C416,100nF,Capacitors_SMD:C_0402,,,,,,,
C459,100nF,Capacitors_SMD:C_0402,,,,,,,
C452,100nF,Capacitors_SMD:C_0402,,,,,,,
C401,100nF,Capacitors_SMD:C_0402,,,,,,,
C402,100nF,Capacitors_SMD:C_0402,,,,,,,
C404,100nF,Capacitors_SMD:C_0402,,,,,,,
C409,100nF,Capacitors_SMD:C_0402,,,,,,,
C413,100nF,Capacitors_SMD:C_0402,,,,,,,
C417,100nF,Capacitors_SMD:C_0402,,,,,,,
C420,100nF,Capacitors_SMD:C_0402,,,,,,,
C424,100nF,Capacitors_SMD:C_0402,,,,,,,
C428,100nF,Capacitors_SMD:C_0402,,,,,,,
C431,100nF,Capacitors_SMD:C_0402,,,,,,,
C403,100nF,Capacitors_SMD:C_0402,,,,,,,
C405,100nF,Capacitors_SMD:C_0402,,,,,,,
C410,100nF,Capacitors_SMD:C_0402,,,,,,,
C414,100nF,Capacitors_SMD:C_0402,,,,,,,
C418,100nF,Capacitors_SMD:C_0402,,,,,,,
C421,100nF,Capacitors_SMD:C_0402,,,,,,,
C425,100nF,Capacitors_SMD:C_0402,,,,,,,
C429,100nF,Capacitors_SMD:C_0402,,,,,,,
C432,100nF,Capacitors_SMD:C_0402,,,,,,,
C435,100nF,Capacitors_SMD:C_0402,,,,,,,
C406,100nF,Capacitors_SMD:C_0402,,,,,,,
C411,100nF,Capacitors_SMD:C_0402,,,,,,,
C415,100nF,Capacitors_SMD:C_0402,,,,,,,
C419,100nF,Capacitors_SMD:C_0402,,,,,,,
C422,100nF,Capacitors_SMD:C_0402,,,,,,,
C426,100nF,Capacitors_SMD:C_0402,,,,,,,
C430,100nF,Capacitors_SMD:C_0402,,,,,,,
C433,100nF,Capacitors_SMD:C_0402,,,,,,,
C436,100nF,Capacitors_SMD:C_0402,,,,,,,
C438,100nF,Capacitors_SMD:C_0402,,,,,,,
C502,100nF,Capacitors_SMD:C_0402,,,,,,,
C501,100nF,Capacitors_SMD:C_0402,,,,,,,
C601,100nF,Capacitors_SMD:C_0402,,,,,,,
C701,100nF,Capacitors_SMD:C_0402,,,,,,,
C902,100nF,Capacitors_SMD:C_0402,,,,,,,
C1004,100nF,Capacitors_SMD:C_0402,,,,,,,
C1202,100nF,Capacitors_SMD:C_0402,,,,,,,
C1206,100nF,Capacitors_SMD:C_0402,,,,,,,
C1201,100nF,Capacitors_SMD:C_0402,,,,,,,
C1207,100nF,Capacitors_SMD:C_0402,,,,,,,
C1301,100nF,Capacitors_SMD:C_0402,,,,,,,
C1302,100nF,Capacitors_SMD:C_0402,,,,,,,
C1304,100nF,Capacitors_SMD:C_0402,,,,,,,
C1310,100nF,Capacitors_SMD:C_0402,,,,,,,
C1308,100nF,Capacitors_SMD:C_0402,,,,,,,
C1505,100nF,Capacitors_SMD:C_0402,,,,,,,
C1522,100nF,Capacitors_SMD:C_0402,,,,,,,
C1521,100nF,Capacitors_SMD:C_0402,,,,,,,
C1516,100nF,Capacitors_SMD:C_0402,,,,,,,
C1612,100nF,Capacitors_SMD:C_0402,,,,,,,
C1615,100nF,Capacitors_SMD:C_0402,,,,,,,
C1605,100nF,Capacitors_SMD:C_0402,,,,,,,
C1620,100nF,Capacitors_SMD:C_0402,,,,,,,
C1602,100nF,Capacitors_SMD:C_0402,,,,,,,
C1603,100nF,Capacitors_SMD:C_0402,,,,,,,
C1604,100nF,Capacitors_SMD:C_0402,,,,,,,
C1623,100nF,Capacitors_SMD:C_0402,,,,,,,
C1823,100nF,Capacitors_SMD:C_0402,,,,,,,
C1818,100nF,Capacitors_SMD:C_0402,,,,,,,
C1819,100nF,Capacitors_SMD:C_0402,,,,,,,
C1904,100nF,Capacitors_SMD:C_0402,,,,,,,
C2006,100nF,Capacitors_SMD:C_0402,,,,,,,
C2007,100nF,Capacitors_SMD:C_0402,,,,,,,
C2004,100nF,Capacitors_SMD:C_0402,,,,,,,
C2008,100nF,Capacitors_SMD:C_0402,,,,,,,
C2101,100nF,Capacitors_SMD:C_0402,,,,,,,
C2201,100nF,Capacitors_SMD:C_0402,,,,,,,
C2205,100nF,Capacitors_SMD:C_0402,,,,,,,
C2301,100nF,Capacitors_SMD:C_0402,,,,,,,
C2401,100nF,Capacitors_SMD:C_0402,,,,,,,
C1205,100pF,Capacitors_SMD:C_0402,,,,,,,
C1210,100pF,Capacitors_SMD:C_0402,,,,,,,
C1305,100pF,Capacitors_SMD:C_0402,,,,,,,
C1614,100pF,Capacitors_SMD:C_0402,,,,,,,
C1618,100pF,Capacitors_SMD:C_0402,,,,,,,
C2304,100pF,Capacitors_SMD:C_0402,,,,,,,
C215,10nF,Capacitors_SMD:C_0603,,,,,,,
C423,10nF,Capacitors_SMD:C_0603,,,,,,,
C1203,10nF,Capacitors_SMD:C_0603,,,,,,,
C1208,10nF,Capacitors_SMD:C_0603,,,,,,,
C1307,10nF,Capacitors_SMD:C_0603,,,,,,,
C1402,10nF,Capacitors_SMD:C_0603,,,,,,,
C1401,10nF,Capacitors_SMD:C_0603,,,,,,,
C1404,10nF,Capacitors_SMD:C_0603,,,,,,,
C1403,10nF,Capacitors_SMD:C_0603,,,,,,,
C1513,10nF,Capacitors_SMD:C_0603,,,,,,,
C1512,10nF,Capacitors_SMD:C_0603,,,,,,,
C1625,10nF,Capacitors_SMD:C_0603,,,,,,,
