"Position units are in mm, coordinates listed are relative to the top-left fiducial",,,,,,
,,,,,,
Ref,Val,Package,PosX,PosY,Rot,Side
FID101,Fiducial,Fiducial,0,0,0,top
FID102,Fiducial,Fiducial,-22.15,-175.65,0,top
FID103,Fiducial,Fiducial,62.15,-175.65,0,top
C101,22uF,C_0603_1608Metric,58.95,-71.5125,90,bottom
C102,22uF,C_0603_1608Metric,52.05,-71.5125,90,bottom
C103,100nF,C_0402_1005Metric,53.9,-77.1,270,bottom
C105,22uF,C_0603_1608Metric,58.95,-77.7,270,bottom
C106,22uF,C_0603_1608Metric,52.05,-77.7,270,bottom
C107,100nF,C_0402_1005Metric,56.6,-84.9,180,bottom
C108,100nF,C_0402_1005Metric,57.365,-83.7,180,bottom
C213,10uF,C_0603_1608Metric,9.6,-142.475,0,bottom
C214,100nF,C_0402_1005Metric,9.866,-143.825,0,bottom
C308,100nF,C_0402_1005Metric,16.36,-106.541,270,bottom
C310,22uF,C_0603_1608Metric,16.36,-99.459,90,bottom
C311,22uF,C_0603_1608Metric,15,-106.541,270,bottom
C312,22uF,C_0603_1608Metric,15.01,-99.459,90,bottom
C313,22uF,C_0603_1608Metric,13.66,-99.459,90,bottom
C314,22uF,C_0603_1608Metric,13.65,-106.541,270,bottom
C401,100nF,C_0402_1005Metric,3.165,-119.8,180,bottom
C402,100nF,C_0402_1005Metric,5.155,-159.06,0,bottom
C403,100nF,C_0402_1005Metric,12.335,-15.45,0,bottom
C404,100nF,C_0402_1005Metric,2.119,-71.632,270,bottom
C405,100nF,C_0402_1005Metric,46.5,-46,90,bottom
C409,100nF,C_0402_1005Metric,44.05,-111.15,0,bottom
C411,100nF,C_0402_1005Metric,43.925,-151.7685,270,bottom
C412,4.7uF,C_0603_1608Metric,37.95,-92.66,90,bottom
C413,100nF,C_0402_1005Metric,0.4,-65.665,90,bottom
C415,100nF,C_0402_1005Metric,51.5,-44.546514,270,bottom
C417,100nF,C_0402_1005Metric,-6.4,-142.155,270,bottom
C419,100nF,C_0402_1005Metric,51.5,-42.616514,270,bottom
C420,100nF,C_0402_1005Metric,-11.25,-75.4,90,bottom
C421,100nF,C_0402_1005Metric,41.5,-46,90,bottom
C422,100nF,C_0402_1005Metric,51.5,-40.1,270,bottom
C424,100nF,C_0402_1005Metric,41.45,-113.525,270,bottom
C425,100nF,C_0402_1005Metric,36.5,-46,90,bottom
C426,100nF,C_0402_1005Metric,29.7,-32.8,180,bottom
C428,100nF,C_0402_1005Metric,21.6,-68.95,0,bottom
C429,100nF,C_0402_1005Metric,18.85,-47.1,180,bottom
C430,100nF,C_0402_1005Metric,8,-67.8,270,bottom
C431,100nF,C_0402_1005Metric,4.02,-152.635,0,bottom
C432,100nF,C_0402_1005Metric,8.45,-47.1,0,bottom
C433,100nF,C_0402_1005Metric,12.1,-149.865,90,bottom
C435,100nF,C_0402_1005Metric,3.3,-48.08792,90,bottom
C436,100nF,C_0402_1005Metric,48.59,-67.75,0,bottom
C437,22uF,C_0603_1608Metric,27.12,-73.4,270,bottom
C438,100nF,C_0402_1005Metric,61.6,-56.9,270,bottom
C440,100nF,C_0402_1005Metric,35.4,-94.8,0,bottom
C441,22uF,C_0603_1608Metric,34.915,-92.79,90,bottom
C442,22uF,C_0603_1608Metric,33.2,-92.79,90,bottom
C443,1uF,C_0402_1005Metric,35.925,-33.975,0,bottom
C444,22uF,C_0603_1608Metric,23.73,-65.83,270,bottom
C445,22uF,C_0603_1608Metric,41.35,-95.9,0,bottom
C446,22uF,C_0603_1608Metric,23.73,-62.81,90,bottom
C447,1uF,C_0402_1005Metric,38.725,-34.615,90,bottom
C448,22uF,C_0603_1608Metric,38.875,-98.275,270,bottom
C450,1uF,C_0402_1005Metric,40.772,-97.24,0,bottom
C451,1uF,C_0402_1005Metric,34.965,-38.825,180,bottom
C501,100nF,C_0402_1005Metric,-10.1,-92.3,270,bottom
C502,100nF,C_0402_1005Metric,57.8,-124.95,180,bottom
C601,100nF,C_0402_1005Metric,29.337,-99.802,90,bottom
C701,100nF,C_0402_1005Metric,-11.975,-71.5,180,bottom
C1101,100nF,C_0402_1005Metric,51.55,-89.615,90,bottom
C1102,100nF,C_0402_1005Metric,51.55,-91.815,90,bottom
C1201,100nF,C_0402_1005Metric,8.8,-176.6,270,bottom
C1206,100nF,C_0402_1005Metric,61,-45.335,90,bottom
C1207,100nF,C_0402_1005Metric,58.05,-37.05,0,bottom
C1208,10nF,C_0402_1005Metric,56.575,-36.6,90,bottom
C1210,100pF,C_0402_1005Metric,55.575,-36.7,90,bottom
C1301,100nF,C_0402_1005Metric,57.9,-94.9,180,bottom
C1616,220pF,C_0402_1005Metric,2.6,-4.54,270,bottom
C1617,220pF,C_0402_1005Metric,2.6,-6.94,90,bottom
C1901,1uF,C_0402_1005Metric,17.3,-164.25,90,bottom
C1902,1uF,C_0402_1005Metric,16.3,-164.25,90,bottom
C1903,22uF,C_0603_1608Metric,8.2625,-162.6,180,bottom
C1904,100nF,C_0402_1005Metric,7.8,-159.91,90,bottom
C2001,1uF,C_0402_1005Metric,18.1275,-15.45,0,bottom
C2002,2.2uF,C_0603_1608Metric,16.2275,-16.75,0,bottom
C2101,100nF,C_0402_1005Metric,-10.4,-77.3,0,bottom
C2102,10nF,C_0402_1005Metric,-10.4,-78.295,0,bottom
C2201,100nF,C_0402_1005Metric,-6.415,-139.7,0,bottom
C2202,1uF,C_0402_1005Metric,-6.9,-137.4,270,bottom
C2203,1uF,C_0402_1005Metric,-15.9,-138.485,90,bottom
C2204,1uF,C_0402_1005Metric,-9.215,-142.5,0,bottom
C2205,100nF,C_0402_1005Metric,-14.9,-137.515,90,bottom
C2305,NC,C_0402_1005Metric,30.065,-15.11,180,bottom
D202,ESD5B5.0,SOD-523_Case-502,-2,-171.265,180,bottom
D203,PTVS20VS1UTR,D_SOD-123W,6.8,-140.198,90,bottom
D204,ESD5B5.0,SOD-523_Case-502,-2,-166.915,180,bottom
D205,NC,SOD-523_Case-502,-2,-168.365,180,bottom
D206,NC,SOD-523_Case-502,-2,-169.815,180,bottom
